% Model:              hppc_creat.mph
% Version:            COMSOL 6.0.0.318
% Date:               Nov 13 2023, 11:17
% Table:              表格 3 - 全局计算 2
% SOC                    Time (s)                 comp1.pw1(t)*I_1C (A)    Ecell (V)
1                        14.100000000000001       -27.1                    4.394532584040656
1                        14.200000000000001       -27.1                    4.3949742052113105
1                        14.3                     -27.1                    4.395408033394702
1                        14.4                     -27.1                    4.395834466507904
1                        14.5                     -27.1                    4.3962538619126645
1                        14.600000000000001       -27.1                    4.3966665424723965
1                        14.700000000000001       -27.1                    4.397072801446299
1                        14.8                     -27.1                    4.397472906644375
1                        14.9                     -27.1                    4.39786710379093
1                        15                       -27.1                    4.398255619022188
1                        15.100000000000001       -27.1                    4.398638661257455
1                        15.200000000000001       -27.1                    4.399016424176562
1                        15.3                     -27.1                    4.399389087895972
1                        15.4                     -27.1                    4.399756820418954
1                        15.5                     -27.1                    4.400119778873175
1                        15.600000000000001       -27.1                    4.4004781105727755
1                        15.700000000000001       -27.1                    4.400831953962778
1                        15.8                     -27.1                    4.401181439440221
1                        15.9                     -27.1                    4.401526690081318
1                        16                       -27.1                    4.40186782228197
1                        16.1                     -27.1                    4.402204946321003
1                        16.2                     -27.1                    4.402538166867444
1                        16.3                     -27.1                    4.402867583433632
1                        16.400000000000002       -27.1                    4.403193290767403
1                        16.5                     -27.1                    4.4035153792040465
1                        16.6                     -27.1                    4.403833934988298
1                        16.7                     -27.1                    4.404149040565949
1                        16.8                     -27.1                    4.404460774847519
1                        16.900000000000002       -27.1                    4.404769213446392
1                        17                       -27.1                    4.405074428897641
1                        17.1                     -27.1                    4.405376490854819
1                        17.2                     -27.1                    4.405675466272866
1                        17.3                     -27.1                    4.40597141957184
1                        17.400000000000002       -27.1                    4.406264412790793
1                        17.5                     -27.1                    4.4065545057261755
1                        17.6                     -27.1                    4.406841756061813
1                        17.7                     -27.1                    4.407126219486196
1                        17.8                     -27.1                    4.407407949803203
1                        17.900000000000002       -27.1                    4.407686999033134
1                        18                       -27.1                    4.407963417506369
1                        18.1                     -27.1                    4.408237253951738
1                        18.2                     -27.1                    4.408508555576058
1                        18.3                     -27.1                    4.408777368141007
1                        18.400000000000002       -27.1                    4.409043736032749
1                        18.5                     -27.1                    4.409307702327491
1                        18.6                     -27.1                    4.409569308853757
1                        18.7                     -27.1                    4.409828596248328
1                        18.8                     -27.1                    4.410085604011193
1                        18.900000000000002       -27.1                    4.410340370555591
1                        19                       -27.1                    4.410592933254673
1                        19.1                     -27.1                    4.410843328487319
1                        19.200000000000003       -27.1                    4.411091591678707
1                        19.3                     -27.1                    4.411337757339915
1                        19.400000000000002       -27.1                    4.4115818591055636
1                        19.5                     -27.1                    4.411823929768484
1                        19.6                     -27.1                    4.41206400131223
1                        19.700000000000003       -27.1                    4.412302104943781
1                        19.8                     -27.1                    4.4125382711217
1                        19.900000000000002       -27.1                    4.412772529584274
1                        20                       -27.1                    4.4130049093767205
0.9                      0                        0                        4.188403411884744
0.9                      0.1                      0                        4.188403411884743
0.9                      0.2                      0                        4.188403411884744
0.9                      0.30000000000000004      0                        4.188403411884744
0.9                      0.4                      0                        4.188403411884744
0.9                      0.5                      0                        4.188403411884744
0.9                      0.6000000000000001       0                        4.188403411884744
0.9                      0.7000000000000001       0                        4.188403411884744
0.9                      0.8                      0                        4.188403411884744
0.9                      0.9                      0                        4.188403411884744
0.9                      1                        0                        4.188403411884744
0.9                      1.1                      0                        4.188403411884744
0.9                      1.2000000000000002       0                        4.188403411884744
0.9                      1.3                      0                        4.188403411884744
0.9                      1.4000000000000001       0                        4.188403411884744
0.9                      1.5                      0                        4.188403411884744
0.9                      1.6                      0                        4.188403411884744
0.9                      1.7000000000000002       0                        4.188403411884744
0.9                      1.8                      0                        4.188403411884744
0.9                      1.9000000000000001       0                        4.188403411884744
0.9                      2                        13.55                    4.167722434655201
0.9                      2.1                      27.1                     4.147020903880314
0.9                      2.2                      27.1                     4.1462795775419155
0.9                      2.3000000000000003       27.1                     4.145750281378829
0.9                      2.4000000000000004       27.1                     4.145302619841483
0.9                      2.5                      27.1                     4.144906536870388
0.9                      2.6                      27.1                     4.144545919841697
0.9                      2.7                      27.1                     4.144211447501419
0.9                      2.8000000000000003       27.1                     4.143897311986416
0.9                      2.9000000000000004       27.1                     4.143594797917512
0.9                      3                        27.1                     4.14330568817013
0.9                      3.1                      27.1                     4.143028941155029
0.9                      3.2                      27.1                     4.142762972172309
0.9                      3.3000000000000003       27.1                     4.142506320476595
0.9                      3.4000000000000004       27.1                     4.142257784303231
0.9                      3.5                      27.1                     4.1420164023528665
0.9                      3.6                      27.1                     4.141781404479365
0.9                      3.7                      27.1                     4.141552166180511
0.9                      3.8000000000000003       27.1                     4.1413281734989384
0.9                      3.9000000000000004       27.1                     4.141108997300808
0.9                      4                        27.1                     4.140894274568392
0.9                      4.1000000000000005       27.1                     4.140683694656707
0.9                      4.2                      27.1                     4.140476989029788
0.9                      4.3                      27.1                     4.140273923552458
0.9                      4.4                      27.1                     4.140074293391674
0.9                      4.5                      27.1                     4.13987791754077
0.9                      4.6000000000000005       27.1                     4.139684634212607
0.9                      4.7                      27.1                     4.139494298531929
0.9                      4.800000000000001        27.1                     4.13930677937544
0.9                      4.9                      27.1                     4.139121958360434
0.9                      5                        27.1                     4.138939727092913
0.9                      5.1000000000000005       27.1                     4.138759986831225
0.9                      5.2                      27.1                     4.13858264637438
